Beat_Number,Time_seconds,Time_mm:ss.ms
923,892.4783,14:52.478
924,893.4388,14:53.439
925,894.4393,14:54.439
926,895.3987,14:55.399
927,896.3585,14:56.359
928,897.3167,14:57.317
929,898.2765,14:58.277
930,899.2767,14:59.277
931,900.2363,15:00.236
932,901.1965,15:01.197
933,902.1548,15:02.155
934,903.1145,15:03.115
935,904.1147,15:04.115
936,905.0750,15:05.075
937,906.0348,15:06.035
938,906.9928,15:06.993
939,907.9523,15:07.952
940,908.9535,15:08.953
941,909.9127,15:09.913
942,910.8723,15:10.872
943,911.8310,15:11.831
944,912.7905,15:12.790
945,913.7920,15:13.792
946,914.7508,15:14.751
947,915.7115,15:15.712
948,916.6698,15:16.670
949,917.6282,15:17.628
950,918.6300,15:18.630
951,919.5897,15:19.590
952,920.5488,15:20.549
953,921.5070,15:21.507
954,922.4673,15:22.467
955,923.4680,15:23.468
956,924.4275,15:24.428
957,925.3880,15:25.388
958,926.3447,15:26.345
959,927.3057,15:27.306
960,928.3060,15:28.306
961,929.2660,15:29.266
962,930.2247,15:30.225
963,931.1838,15:31.184
964,932.1430,15:32.143
965,933.1448,15:33.145
966,934.1042,15:34.104
967,935.0630,15:35.063
968,936.0220,15:36.022
969,936.9820,15:36.982
970,937.9825,15:37.982
971,938.9420,15:38.942
972,939.9025,15:39.903
973,940.8602,15:40.860
974,941.8197,15:41.820
975,942.8207,15:42.821
976,943.7810,15:43.781
977,944.7408,15:44.741
978,945.6988,15:45.699
979,946.6575,15:46.658
980,947.6588,15:47.659
981,948.6180,15:48.618
982,949.5780,15:49.578
983,950.5362,15:50.536
984,951.4958,15:51.496
985,952.4975,15:52.497
986,953.4565,15:53.457
987,954.4158,15:54.416
988,955.3742,15:55.374
989,956.3350,15:56.335
990,957.3352,15:57.335
991,958.2948,15:58.295
992,959.2545,15:59.255
993,960.2123,16:00.212
994,961.1727,16:01.173
995,962.1738,16:02.174
996,963.1332,16:03.133
997,964.0920,16:04.092
998,965.0515,16:05.052
999,966.0103,16:06.010
1000,967.0113,16:07.011
1001,967.9715,16:07.971
1002,968.9310,16:08.931
1003,969.8887,16:09.889
1004,970.8487,16:10.849
1005,971.8500,16:11.850
1006,972.8093,16:12.809
1007,973.7690,16:13.769
1008,974.7275,16:14.727
1009,975.6867,16:15.687
1010,976.6880,16:16.688
1011,977.6485,16:17.649
1012,978.6070,16:18.607
1013,979.5648,16:19.565
1014,980.5250,16:20.525
1015,981.5253,16:21.525
1016,982.4860,16:22.486
1017,983.4447,16:23.445
1018,984.4040,16:24.404
1019,985.3635,16:25.364
1020,986.3642,16:26.364
1021,987.3235,16:27.323
1022,988.2832,16:28.283
1023,989.2418,16:29.242
